קטגוריה	נושא	החלטה / הגדרה	סטטוס MVP	המשך נדרש
עקרון מוצר	חולה אחד ב-POC	משתמש קיים מנהל כרגע חולה אחד בלבד	קיים	בעתיד לתמוך בריבוי חולים אם יידרש
עקרון מוצר	דרכי התחברות	Apple, Google ו-Email מובילים לאותה אפליקציה; ה-role וההרשאות קובעים את החוויה	מוגדר	לוודא backend user context אחיד לכל שיטות הכניסה
עקרון מוצר	מינימום עומס ידני	השאיפה היא חיבור מהיר לקופה/בית חולים והעלאת מידע אוטומטית ככל האפשר	חזון	לממש hospital/HMO sync אמיתי
תפקידים	מטופל	המטופל הוא בעל הסמכות העליונה וזכות הווטו על התיק	מוגדר בקוד	לחבר לבעלות backend אמיתית
תפקידים	מטפל עם גישה מלאה	מטפל שאושר על ידי המטופל יכול לקבל גישה מלאה, אך לא לעקוף את המטופל	מוגדר בקוד	להקשיח ב-backend
תפקידים	בן משפחה / מטפל חלקי	מקבל הרשאות לפי מודול: ללא גישה, צפייה בלבד, צפייה ועריכה	מוגדר בקוד	לחבר להרשאות backend
הרשאות	מודולים	לוח זמנים, משימות, תרופות ומינונים, תיק רפואי, מעגל תמיכה	קיים	לוודא שכל פעולה בודקת canRead/canWrite
הרשאות	ללא גישה	המשתמש לא רואה מידע במודול ומקבל מסך חסימה ברור	מוגדר	לבדוק UX בכל מסך
הרשאות	צפייה בלבד	המשתמש רואה מידע אך לא משנה אותו	חלקי	לוודא שכל כפתורי העריכה חסומים
הרשאות	צפייה ועריכה	המשתמש יכול לראות ולבצע פעולות שינוי	קיים חלקית	לחבר לפעולות backend
אונבורדינג	מטופל נרשם בעצמו	המטופל יוצר תיק לעצמו והתיק מאושר על ידו	מוגדר לוגית	לזהות role patient מול backend
אונבורדינג	מטפל יוצר תיק	מותר ליצור תיק ממתין לאישור, ללא גישה רפואית מלאה עד אישור המטופל	מוגדר בקוד	לחבר להזמנת מטופל אמיתית
אישור מטופל	מייל לאימות	בעת יצירת תיק על ידי מטפל נאסף מייל המטופל	קיים באונבורדינג	אימות מייל אמיתי
אישור מטופל	צילום תעודת זהות	ב-MVP מסמנים שקיים צילום תעודה; בעתיד תידרש העלאה מאובטחת	Mock מקומי	העלאה מאובטחת ושמירה מוצפנת
אישור מטופל	סטטוס תיק ממתין	תיק שנוצר על ידי מטפל מוגדר pending patient consent	מוגדר בקוד	לשמור ב-backend
אישור מטופל	אישור בעלות	המטופל מאשר שהתיק שלו ומקבל סמכות עליונה	מוגדר לוגית	Flow אימות מלא + חתימה/אישור
הזמנה	מטפל מצטרף לחולה קיים	הצטרפות צריכה להיות דרך קוד/לינק הזמנה ואישור מטופל	Mock	מימוש הזמנה אמיתית
הזמנה	כפתור הזמנה	הכפתור קיים במסך ניהול גישה ומסומן Mock	קיים	שליחת הזמנה אמיתית
הזמנה	קוד הזמנה	מוצג קוד דוגמה MOCK-2481	Mock	יצירת token חד-פעמי מאובטח
מגבלות	עד 5 מטפלים	מותר עד 5 מטפלים/בני משפחה שאינם המטופל	מוגדר בקוד	לאכוף גם ב-backend
מגבלות	חריגה ממגבלה	אם יש 5 מטפלים, מוצגת הודעה ונרשם audit event	מוגדר	בדיקת UI
מסכי גישה	ארבעת הטאבים	ארבעת הטאבים נשארים גלויים גם אם אין הרשאה	מוגדר	בדיקת חוויית משתמש
מסכי גישה	אין הרשאה	כניסה למסך ללא הרשאה מציגה מסך חסימה ברור	מוגדר	לבדוק טקסטים בכל תרחיש
מסכי גישה	תיק ממתין	אם התיק ממתין לאישור, מוצג הסבר שהתיק ממתין לאישור מטופל	מוגדר	לחבר לסטטוס backend
ניהול גישה	מבנה המסך	המסך מחולק למטופל, מטפלים עם גישה מלאה, חברים חלקיים, הזמנה וחשבון	קיים	שיפור UI לפי בדיקות
ניהול גישה	עריכת הרשאות	אפשר לערוך הרשאות לפי מודול למשתמשים עם גישה חלקית	קיים	לשמור ב-backend
ניהול גישה	גישה מלאה	ב-MVP המטופל יכול להסיר גישה מלאה; שינוי Admin לרמות חלקיות עוד לא מלא	חלקי	מימוש downgrade מלא
ביטול גישה	הסרה מיידית	ביטול גישה צריך להיות מיידי	קיים מקומית	פסילת סשנים וניקוי cache רגיש
Audit	בחירת MVP	נבחר audit log מקומי ב-UserDefaults ששומר metadata בלבד	קיים	להעביר לטבלת backend append-only
Audit	מה נשמר	זמן פעולה, מבצע, סוג פעולה, יעד, תקציר טכני	קיים	להוסיף family_id/patient_case_id ב-backend
Audit	מה לא נשמר	לא נשמר תוכן רפואי, מסמכים, הערות רפואיות או צילום תעודה	מוגדר	לוודא גם ב-backend
Audit	אירועים	יצירת תיק, pending consent, אישור מטופל, שינוי הרשאה, הזמנת Mock, חסימת הזמנה, הסרת גישה, קבלת הזמנה, התנתקות	קיים חלקית	להרחיב לפי פעולות backend
משפטי	סודיות רפואית	מטפל לא יקבל גישה רפואית מלאה בלי אישור המטופל	עקרון מוגדר	בדיקת עו"ד/פרטיות
משפטי	נוסח הסכמה	צריך נוסח הסכמה ברור וקביל משפטית	לא קיים	לנסח עם יועץ משפטי
משפטי	תיעוד הסכמה	צריך לתעד מי אישר, למי ניתנה גישה, לאיזה מידע ובאיזה זמן	מקומי חלקי	Backend audit חתום/append-only
Backend	משתמש ללא תיק	צריך לבחור בין יצירת תיק לבין הצטרפות עם קוד	חלקי	לבנות Join flow מלא
Backend	הצטרפות לתיק קיים	משתמש מצטרף עם קוד/לינק ומחכה לאישור מטופל	לא מלא	מימוש API ו-UI
Backend	דאטה אמיתי	הדאטה צריך להיות לפי משתמש/משפחה ולא Mock	לא מלא	להחליף Mock Data בנתוני backend
Backend	Hospital sync	כרגע דמו/חזון; בעתיד חיבור לבית חולים/קופה	דמו	אינטגרציה אמיתית
קבצים בקוד	Permissions.swift	מגדיר MemberRole ו-AccessLevel	עודכן	להמשיך משם
קבצים בקוד	FamilyMember.swift	מגדיר חבר משפחה, role וסטטוס אישור	עודכן	להמשיך משם
קבצים בקוד	AppEnvironment.swift	מרכז הרשאות, סטטוס אישור, מגבלת מטפלים ו-audit	עודכן	להמשיך משם
קבצים בקוד	OnboardingView.swift	כולל פרטי חולה, מייל אימות וסימון תעודת זהות	עודכן	להמשיך משם
קבצים בקוד	RootTabView.swift	מציג טאבים ומסכי חסימה לפי הרשאה	עודכן	להמשיך משם
קבצים בקוד	PermissionsSettingsView.swift	ניהול גישה, הסרה, הזמנה Mock ומגבלת 5	עודכן	להמשיך משם
